ticker,period,category,price,support,resistance,dist_to_support_pct,dist_to_resistance_pct,volume_ratio,entry_trigger,entry_signal,signal_active,is_retest,retest_level,days_since_breakout,retest_worst_undercut_pct,tight_prior_base,prior_base_range_pct,company_name,sector,industry,description
AAT,3mo,BREAKOUT_RALLY,21.95,21.87,21.96,0.37,0.05,1.76,21.96,ENTER - closed above 21.96 resistance on 1.76x volume (tight prior base),True,False,,,,True,4.73,,,,
AAUC,3mo,NEAR_SUPPORT_BUY,22.91,22.45,24.39,2.05,6.46,2.82,22.45,ENTER - holding support at 22.45,True,False,,,,,,,,,
AB,3mo,RETEST_BUY,36.31,35.65,36.96,1.85,1.79,1.08,35.65,"ENTER - retest of 35.65 breakout level (15d ago), holding (tight prior base)",True,True,35.65,15.0,1.01,True,3.1,,,,
ABAT,3mo,NEUTRAL,2.18,2.07,2.53,5.31,16.06,1.73,2.53,NO SIGNAL - next trigger is a close above 2.53,False,False,,,,,,,,,
ABBV,3mo,NEAR_RESISTANCE_AVOID,263.96,252.29,267.12,4.63,1.2,1.91,267.12,WAIT - buy trigger is a close above 267.12,False,False,,,,,,AbbVie Inc.,Healthcare,Drug Manufacturers - General,"AbbVie Inc., a research-based biopharmaceutical company, engages in the research and development, manufacturing, commercializing, and sale of medicines and therapies worldwide. The company offers Skyrizi to treat autoimmune diseases; Rinvoq to treat inflammatory diseases; Imbruvica for the treatment of adult patients with blood cancers; Venclexta to treat blood cancers; Elahere to treat various ca"
ABCB,3mo,RETEST_BUY,83.5,82.98,86.62,0.63,3.74,4.61,82.98,"ENTER - retest of 82.98 breakout level (38d ago), holding",True,True,82.98,38.0,1.14,False,9.09,,,,
ABCL,3mo,BREAKOUT_RALLY,12.63,10.8,12.58,16.94,-0.4,1.62,12.58,ENTER - closed above 12.58 resistance on 1.62x volume,True,False,,,,False,13.34,,,,
ABEO,3mo,NEAR_SUPPORT_BUY,5.57,5.52,5.88,0.91,5.57,2.88,5.52,ENTER - holding support at 5.52,True,False,,,,,,,,,
ABEV,3mo,NEAR_RESISTANCE_AVOID,2.94,2.82,2.95,4.26,0.34,0.82,2.95,WAIT - buy trigger is a close above 2.95,False,False,,,,,,,,,
ABG,3mo,BELOW_SUPPORT,183.06,194.3,208.12,-5.78,13.69,4.8,194.3,WAIT - needs to reclaim 194.3 before entry,False,False,,,,,,,,,
ABLV,3mo,NEAR_SUPPORT_BUY,0.9,0.89,1.03,1.12,14.44,0.45,0.89,ENTER - holding support at 0.89,True,False,,,,,,,,,
ABM,3mo,NEAR_RESISTANCE_AVOID,49.77,46.94,51.17,6.03,2.81,2.79,51.17,WAIT - buy trigger is a close above 51.17,False,False,,,,,,,,,
ABNB,3mo,RETEST_BUY,166.22,166.22,187.12,0.0,12.57,2.14,166.22,"ENTER - retest of 166.22 breakout level (27d ago), holding",True,True,166.22,27.0,0.86,False,24.03,"Airbnb, Inc.",Consumer Cyclical,Travel Services,"Airbnb, Inc., together with its subsidiaries, operates a platform for stays, experiences, and services worldwide. The company's marketplace connects hosts and guests online or through mobile devices to book spaces, experiences, and services. It also offers gift cards. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was "
ABOS,3mo,NEAR_SUPPORT_BUY,2.65,2.59,2.83,2.32,6.79,2.4,2.59,ENTER - holding support at 2.59,True,False,,,,,,,,,
ABR,3mo,BELOW_SUPPORT,4.28,4.5,5.1,-4.89,19.16,3.12,4.5,WAIT - needs to reclaim 4.5 before entry,False,False,,,,,,,,,
ABSI,3mo,NEAR_RESISTANCE_AVOID,9.65,8.75,9.67,10.29,0.21,3.06,9.67,WAIT - buy trigger is a close above 9.67,False,False,,,,,,,,,
ABT,3mo,RETEST_BUY,102.61,102.18,110.04,0.42,7.24,3.55,102.18,"ENTER - retest of 102.18 breakout level (8d ago), holding",True,True,102.18,8.0,1.81,False,8.93,Abbott Laboratories,Healthcare,Medical Devices,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The company offers generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spas"
ABTC,3mo,NEUTRAL,10.1,7.86,13.19,28.5,30.59,2.53,13.19,NO SIGNAL - next trigger is a close above 13.19,False,False,,,,,,,,,
ABTS,3mo,BREAKOUT_RALLY,1.3,1.26,1.3,3.17,0.0,23.05,1.3,ENTER - closed above 1.3 resistance on 23.05x volume,True,False,,,,False,23.78,,,,
ABUS,3mo,NEUTRAL,5.01,4.42,5.23,13.35,4.39,1.2,5.23,NO SIGNAL - next trigger is a close above 5.23,False,False,,,,,,,,,
ABVC,3mo,NEUTRAL,1.16,0.96,2.15,20.83,85.34,2.06,2.15,NO SIGNAL - next trigger is a close above 2.15,False,False,,,,,,,,,
ABVX,3mo,NEUTRAL,105.04,101.29,121.04,3.7,15.23,1.06,121.04,NO SIGNAL - next trigger is a close above 121.04,False,False,,,,,,,,,
ABX,3mo,NEUTRAL,8.77,8.43,9.9,4.03,12.88,4.53,9.9,NO SIGNAL - next trigger is a close above 9.9,False,False,,,,,,,,,
ABXL,3mo,RETEST_BUY,25.38,25.12,25.52,1.04,0.55,2.08,25.12,"ENTER - retest of 25.12 breakout level (18d ago), holding (tight prior base)",True,True,25.12,18.0,-0.76,True,1.11,"Abacus Global Management, Inc. ",,,
ACA,3mo,NEAR_RESISTANCE_AVOID,145.84,144.7,145.84,0.79,0.0,2.14,145.84,WAIT - buy trigger is a close above 145.84,False,False,,,,,,"Arcosa, Inc.",,,
ACAA,3mo,NEAR_RESISTANCE_AVOID,9.99,9.98,10.0,0.1,0.1,0.6,10.0,WAIT - buy trigger is a close above 10.0,False,False,,,,,,Averin Capital Acquisition Corp,,,
ACAAU,3mo,NEAR_RESISTANCE_AVOID,10.16,10.07,10.16,0.89,0.0,0.0,10.16,WAIT - buy trigger is a close above 10.16,False,False,,,,,,Averin Capital Acquisition Corp,,,
ACAD,3mo,BREAKOUT_RALLY,27.29,27.1,27.31,0.7,0.07,3.99,27.31,ENTER - closed above 27.31 resistance on 3.99x volume,True,False,,,,False,11.21,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,"ACADIA Pharmaceuticals Inc., a biopharmaceutical company, focuses on the development and commercialization of medicines for neurological and rare disease in North America. The company offers NUPLAZID (pimavanserin), a selective serotonin inverse agonist/antagonist for the treatment of hallucinations and delusions associated with Parkinson's disease psychosis; and DAYBUE, a novel synthetic analog o"
ACB,3mo,NEAR_RESISTANCE_AVOID,3.87,3.82,3.92,1.31,1.29,0.58,3.92,WAIT - buy trigger is a close above 3.92,False,False,,,,,,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,"Aurora Cannabis Inc., together with its subsidiaries, engages in the production, distribution, and sale of cannabis products in Canada and internationally. The company offers pharmaceutical-grade cannabis products; and medical and consumer cannabis products. It also provides harvested cannabis, trim, cannabis oils, capsules, edibles, vaporizers, dried and fresh cannabis, cannabis plants, cannabis "
ACCL,3mo,NEUTRAL,2.88,2.75,2.99,4.73,3.82,0.15,2.99,NO SIGNAL - next trigger is a close above 2.99,False,False,,,,,,Acco Group Holdings Limited,Industrials,Consulting Services,"Acco Group Holdings Limited, through its subsidiaries, operates as an IT-driven corporate service provider in Hong Kong and Singapore. The company offers corporate secretarial and accounting services, as well as intellectual properties registration services under the Accolade brand name. It serves individual clients, small and medium-sized enterprises, and multinational corporations. Acco Group Ho"
ACCO,3mo,BREAKOUT_RALLY,4.17,4.14,4.31,0.72,3.36,2.71,4.31,ENTER - closed above 4.31 resistance on 2.71x volume (tight prior base),True,False,,,,True,6.76,Acco Brands Corporation,Industrials,Business Equipment & Supplies,"ACCO Brands Corporation designs, manufactures, and markets consumer, school, technology, and office products in the United States, Canada, Brazil, Mexico, Chile, Europe, the Middle East, Australia, New Zealand, and Asia. It operates in two segments, ACCO Brands Americas and ACCO Brands International. The company offers note taking products, gaming and computer accessories, planners, workspace mach"
ACCS,3mo,NEUTRAL,5.23,4.9,5.83,6.73,11.47,0.93,5.83,NO SIGNAL - next trigger is a close above 5.83,False,False,,,,,,ACCESS Newswire Inc.,Communication Services,Advertising Agencies,"ACCESS Newswire Inc. provides solutions for public relations and investor relations in the United States and internationally. The company offers press release distribution and optimizer, media database and pitching, media monitoring, and media room; ACCESS Newswire, a news dissemination and media outreach solution; and Webcaster Platform, a cloud-based webcast, webinar, and virtual meeting platfor"
ACDC,3mo,NEAR_RESISTANCE_AVOID,5.17,5.14,5.25,0.58,1.55,1.33,5.25,WAIT - buy trigger is a close above 5.25,False,False,,,,,,ProFrac Holding Corp.,Energy,Oil & Gas Equipment & Services,"ProFrac Holding Corp. operates as a technology-focused energy services holding company in the United States. It operates through four segments: Stimulation Services, Proppant Production, Manufacturing, and and Flotek Industries, Inc. The company offers hydraulic fracturing, proppant production, well stimulation, in-basin frac sand, and other completion services and complementary products and servi"
ACEL,3mo,BELOW_SUPPORT,11.27,11.43,11.92,-1.4,5.77,2.21,11.43,WAIT - needs to reclaim 11.43 before entry,False,False,,,,,,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,"Accel Entertainment, Inc., together with its subsidiaries, operates as a distributed gaming operator in the United States. It engages in the installation, maintenance, and operation of gaming terminals; redemption devices that disburse winnings and contain automated teller machine (ATM) functionality; and other amusement devices in authorized non-casino locations, such as restaurants, bars, tavern"
ACET,3mo,NEAR_RESISTANCE_AVOID,9.18,8.62,9.42,6.5,2.61,1.02,9.42,WAIT - buy trigger is a close above 9.42,False,False,,,,,,"Adicet Bio, Inc.",Healthcare,Biotechnology,"Adicet Bio, Inc., a clinical stage biotechnology company, discovers and develops allogeneic gamma delta T cell therapies for autoimmune diseases and cancer in the United States. The company's lead product candidate, prulacabtagene leucel (prula-cel), is an allogeneic gamma delta T cell therapy expressing a CAR that targets CD20 for the potential treatment of autoimmune diseases. It also develops A"
ACFN,3mo,NEUTRAL,22.21,19.28,21.76,15.2,-2.03,0.36,21.76,NO SIGNAL - next trigger is a close above 21.76,False,False,,,,,,"Acorn Energy, Inc.",Technology,Scientific & Technical Instruments,"Acorn Energy, Inc., through its subsidiary, develops and markets wireless remote monitoring and control systems in the United States and internationally. It operates through two segments: Power Generation (PG) and Cathodic Protection (CP). The company offers wireless remote monitoring and control systems and IoT applications for residential and commercial/industrial power generation equipment;"
ACGC,3mo,NEAR_RESISTANCE_AVOID,10.06,9.98,10.12,0.8,0.6,12.78,10.12,WAIT - buy trigger is a close above 10.12,False,False,,,,,,ACP Holdings Acquisition Corp.,Financial Services,Shell Companies,"ACP Holdings Acquisition Corp. focuses on effecting a merger, amalgamation, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. ACP Holdings Acquisition Corp. was incorporated in 2026 and is based in Houston, Texas."
ACGCW,3mo,NEUTRAL,0.4,0.34,0.44,17.65,10.0,0.53,0.44,NO SIGNAL - next trigger is a close above 0.44,False,False,,,,,,ACP Holdings Acquisition Corp. Warrants,,,"ACP Holdings Acquisition Corp. focuses on effecting a merger, amalgamation, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. ACP Holdings Acquisition Corp. was incorporated in 2026 and is based in Houston, Texas."
ACGL,3mo,NEAR_RESISTANCE_AVOID,96.89,94.65,98.39,2.37,1.55,2.71,98.39,WAIT - buy trigger is a close above 98.39,False,False,,,,,,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products in the United States, Canada, Bermuda, the United Kingdom, Europe, and Australia. The company operates through three segments: Insurance, Reinsurance, and Mortgage. The Insurance segment offers commercial automobile; commercial multiperil; financial and professional line liabil"
ACGLN,3mo,RETEST_BUY,15.11,14.88,15.98,1.55,5.76,1.53,14.88,"ENTER - retest of 14.88 breakout level (1d ago), holding (tight prior base)",True,True,14.88,1.0,-0.94,True,5.53,Arch Capital Group Ltd. - Depos,Financial Services,Insurance - Diversified,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products in the United States, Canada, Bermuda, the United Kingdom, Europe, and Australia. The company operates through three segments: Insurance, Reinsurance, and Mortgage. The Insurance segment offers commercial automobile; commercial multiperil; financial and professional line liabil"
ACGLO,3mo,RETEST_BUY,18.35,18.1,18.91,1.38,3.05,2.4,18.1,"ENTER - retest of 18.1 breakout level (1d ago), holding (tight prior base)",True,True,18.1,1.0,-0.0,True,3.65,Arch Capital Group Ltd. - Depos,Financial Services,Insurance - Diversified,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products in the United States, Canada, Bermuda, the United Kingdom, Europe, and Australia. The company operates through three segments: Insurance, Reinsurance, and Mortgage. The Insurance segment offers commercial automobile; commercial multiperil; financial and professional line liabil"
ACH,3mo,BELOW_SUPPORT,0.89,0.93,1.15,-4.3,29.21,3.28,0.93,WAIT - needs to reclaim 0.93 before entry,False,False,,,,,,"Accendra Health, Inc.",Healthcare,Medical Distribution,"Accendra Health, Inc., together with its subsidiaries, operates as a healthcare solutions company in the United States. It offers a range of products and services for in-home care and delivery for diabetes treatment; home respiratory therapy, including home oxygen and non-invasive ventilation services; obstructive sleep apnea treatment, such as continuous positive airway pressure and bi-level posi"
ACHC,3mo,NEUTRAL,28.33,26.77,29.8,5.83,5.19,1.95,29.8,NO SIGNAL - next trigger is a close above 29.8,False,False,,,,,,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,"Acadia Healthcare Company, Inc. provides behavioral healthcare services in the United States and Puerto Rico. The company owns and operates acute inpatient psychiatric facilities; specialty treatment facilities comprising residential recovery facilities and eating disorder facilities; comprehensive treatment centers; and residential treatment centers, as well as facilities providing outpatient beh"
ACHR,3mo,NEAR_SUPPORT_BUY,5.26,5.12,5.46,2.73,3.8,1.92,5.12,ENTER - holding support at 5.12,True,False,,,,,,Archer Aviation Inc.,Industrials,Aerospace & Defense,"Archer Aviation Inc., together with its subsidiaries, designs and develops aircraft and related technologies and services for commercial and defense sectors in the United States and internationally. The company offers electric vertical takeoff and landing (eVTOL) aircraft for urban air taxi operations. Archer Aviation Inc. is based in San Jose, California."
ACHV,3mo,NEAR_SUPPORT_BUY,7.98,7.82,8.62,2.05,8.02,1.73,7.82,ENTER - holding support at 7.82,True,False,,,,,,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,"Achieve Life Sciences, Inc., a late-stage pharmaceutical company, develops and commercializes cytisinicline for nicotine independence in Canada, the United States, and the United Kingdom. The company offers cytisinicline, a naturally occurring alkaloid that interacts with nicotine receptors in the brain that reduces the severity of nicotine withdrawal symptoms. It has license and supply agreements"
ACI,3mo,BREAKOUT_RALLY,12.35,12.16,12.46,1.56,0.89,2.16,12.46,ENTER - closed above 12.46 resistance on 2.16x volume,True,False,,,,False,11.34,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,"Albertsons Companies, Inc., through its subsidiaries, operates in the food and drug retail industry in the United States. The company's food and drug retail stores offer grocery products, general merchandise, health and beauty care products, pharmacy, vaccines, fuel, and other items and services. It also operates stores under various banners, including Albertsons, Safeway, Vons, Pavilions, Randall"
ACIC,3mo,RETEST_BUY,9.18,9.1,9.59,0.88,4.47,1.94,9.1,"ENTER - retest of 9.1 breakout level (30d ago), holding",True,True,9.1,30.0,0.44,False,12.65,American Coastal Insurance Corp,Financial Services,Insurance - Property & Casualty,"American Coastal Insurance Corporation, through its subsidiaries, primarily engages in the commercial and personal property and casualty insurance business in the United States. The company provides structure, content, and liability coverage for standard single-family homeowners, renters, and condominium unit owners. It also offers commercial multi-peril property insurance for residential condomin"
ACIU,3mo,RETEST_BUY,2.63,2.58,2.65,1.94,0.76,0.49,2.58,"ENTER - retest of 2.58 breakout level (18d ago), holding",True,True,2.58,18.0,0.0,False,25.86,AC Immune SA,Healthcare,Biotechnology,"AC Immune SA, a clinical stage biopharmaceutical company, discovers, designs, and develops medicines, and therapeutic and diagnostic products for the prevention and treatment of neurodegenerative diseases associated with protein misfolding. The company's SupraAntigen and Morphomer platforms are designed to generate biologics and small molecules, which selectively interact with misfolded proteins t"
ACIW,3mo,NEUTRAL,50.27,42.55,54.11,18.14,7.64,2.28,54.11,NO SIGNAL - next trigger is a close above 54.11,False,False,,,,,,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,"ACI Worldwide, Inc. develops, markets, installs, and supports software products and services for facilitating electronic payments in the United States and worldwide. It operates through Payment Software, and Billers segments. The company offers ACI Acquiring, a solution to process credit, debit, and prepaid card transactions, deliver digital innovation, fraud prevention, and reduce fees; ACI Issui"
ACLS,3mo,NEAR_SUPPORT_BUY,109.32,107.87,120.96,1.34,10.65,1.49,107.87,ENTER - holding support at 107.87,True,False,,,,,,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,"Axcelis Technologies, Inc. designs, manufactures, and services ion implantation and other processing equipment used in the fabrication of semiconductor chips in the United States, Europe, and the Asia Pacific. The company provides high energy, high current, and medium current implanters for various application requirements. It also offers aftermarket lifecycle products and services, including used"
ACM,3mo,NEAR_SUPPORT_BUY,61.99,60.35,65.83,2.72,6.19,1.69,60.35,ENTER - holding support at 60.35,True,False,,,,,,AECOM,Industrials,Engineering & Construction,"AECOM, together with its subsidiaries, provides professional infrastructure consulting services for governments, businesses, and organizations internationally. The company operates in three segments: Americas, International, and AECOM Capital. The company offers advisory, planning, consulting, architectural and engineering design, construction and program management services, and investment and de"
ACMR,3mo,NEUTRAL,68.51,66.42,78.71,3.15,14.89,1.95,78.71,NO SIGNAL - next trigger is a close above 78.71,False,False,,,,,,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,"ACM Research, Inc., together with its subsidiaries, develops, manufactures, and sells capital equipment in Mainland China and internationally. It also develops, manufactures, and sells a range of packaging tools to wafer assembly and packaging customers. The company provides wet cleaning equipment for front end production processes; electrochemical plating, furnace, PECVD, and track platforms; Spa"
ACN,3mo,BREAKOUT_RALLY,181.29,175.49,187.12,3.31,3.22,2.5,187.12,ENTER - closed above 187.12 resistance on 2.5x volume,True,False,,,,False,11.89,Accenture plc,Technology,Information Technology Services,"Accenture plc provides strategy and consulting, industry X, song, and technology and operation services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It offers systems integration and application management; security; intelligent platform; infrastructure; software engineering; data, AI, cloud; and automation and global delivery services. The company also operates business"
ACNB,3mo,RETEST_BUY,64.57,63.68,65.02,1.4,0.7,3.08,63.68,"ENTER - retest of 63.68 breakout level (11d ago), holding (tight prior base)",True,True,63.68,11.0,0.93,True,6.34,ACNB Corporation,Financial Services,Banks - Regional,"ACNB Corporation, a financial holding company, offers banking, insurance, and financial services to individual, business, and government customers in the United States. The company offers checking, savings, and money market deposit accounts, as well as time deposits and debit cards. It also provides commercial lending products, such as commercial mortgages, real estate development and construction"
ACNT,3mo,RETEST_BUY,14.75,14.72,15.46,0.2,4.81,1.0,14.72,"ENTER - retest of 14.72 breakout level (5d ago), holding (tight prior base)",True,True,14.72,5.0,-0.07,True,7.22,Ascent Industries Co.,Basic Materials,Specialty Chemicals,"Ascent Industries Co. engages in the development, production, and distribution of specialty chemical solutions. It offers surfactants, defoamers, lubricating agents, flame retardants, and specialty intermediates in petroleum-based and bio-based formulations. The company also provides custom manufacturing services, including product development, process optimization, scale-up, and commercial produc"
ACOG,3mo,NEUTRAL,8.83,8.23,9.27,7.29,4.98,1.15,9.27,NO SIGNAL - next trigger is a close above 9.27,False,False,,,,,,Alpha Cognition Inc.,Healthcare,Biotechnology,"Alpha Cognition Inc., a biopharmaceutical company, engages in the development of treatments for patients suffering from neurodegenerative diseases in the United States and Canada. The company's commercial development program includes ZUNVEYL oral tablet formulation for treating Alzheimer's disease. Its pre-clinical development programs comprise ZUNVEYL in combination with memantine for the treatme"
ACON,3mo,NEAR_SUPPORT_BUY,2.52,2.51,2.64,0.4,4.76,0.65,2.51,ENTER - holding support at 2.51,True,False,,,,,,"Aclarion, Inc.",Healthcare,Health Information Services,"Aclarion, Inc. operates as a healthcare technology company in the United States. It uses magnetic resonance spectroscopy (MRS) combined with proprietary signal-processing biomarkers to optimize clinical treatments. The company develops NOCISCAN, which uses MRS capabilities to non-invasively analyze the chemical makeup of intervertebral discs in the spine. It also provides NOCISCAN MRS Exam Protoco"
ACP,3mo,NEUTRAL,4.65,4.5,5.03,3.33,8.17,1.34,5.03,NO SIGNAL - next trigger is a close above 5.03,False,False,,,,,,Aberdeen Income Credit Strategi,Financial Services,Asset Management,"Abrdn Income Credit Strategies Fund is a closed-ended fixed income fund launched and managed by Aberdeen Asset Managers Limited. It is co-managed by Aberdeen Standard Investments Inc. The fund invests in fixed income markets across the globe. It seeks to invest primarily in loan and debt instruments. Abrdn Income Credit Strategies Fund was formed on October 12, 2010 and is domiciled in the United "
ACR,3mo,RETEST_BUY,13.36,13.25,14.73,0.83,10.25,6.68,13.25,"ENTER - retest of 13.25 breakout level (6d ago), holding (tight prior base)",True,True,13.25,6.0,0.0,True,7.75,ACRES Commercial Realty Corp.,Real Estate,REIT - Mortgage,"ACRES Commercial Realty Corp., a real estate investment trust (REIT), focuses on the origination, holding, and management of commercial real estate mortgage loans and equity investments in commercial real estate property in the United States. The company invests in commercial real estate credit investments, including floating-rate first mortgage loans, first priority interests in first mortgage lo"
ACRE,3mo,NEAR_RESISTANCE_AVOID,4.38,4.29,4.48,2.1,2.28,3.23,4.48,WAIT - buy trigger is a close above 4.48,False,False,,,,,,Ares Commercial Real Estate Cor,Real Estate,REIT - Mortgage,"Ares Commercial Real Estate Corporation, a specialty finance company, engages in the originating and investing in commercial real estate (CRE) loans and related investments in the United States. The company provides loan opportunities for the owners, operators, and sponsors of CRE properties. Its investments includes senior mortgage loans, subordinate debt, preferred equity products, mezzanine loa"
ACRS,3mo,NEUTRAL,5.5,5.24,5.87,4.96,6.73,1.96,5.87,NO SIGNAL - next trigger is a close above 5.87,False,False,,,,,,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,"Aclaris Therapeutics, Inc., a clinical-stage biopharmaceutical company, engages in the discovering and developing novel molecule product candidates for immuno-inflammatory diseases in the United States. The company product pipeline includes Bosakitug (ATI-045), an anti-thymic stromal lymphopoietin monoclonal antibody in Phase 2 trial to treat moderate to severe atopic dermatitis, asthma, chronic r"
ACRV,3mo,NEUTRAL,1.85,1.7,2.15,8.82,16.22,1.61,2.15,NO SIGNAL - next trigger is a close above 2.15,False,False,,,,,,"Acrivon Therapeutics, Inc.",Healthcare,Biotechnology,"Acrivon Therapeutics, Inc., a clinical-stage biopharmaceutical company, discovers and develops oncology medicines for patients whose tumors are predicted to be sensitive to each specific medicine by utilizing its generative phosphoproteomics platform. The company operates Acrivon Predictive Precision Proteomics (AP3), a precision medicine platform that enables the creation of drug specific proprie"
ACT,3mo,RETEST_BUY,48.45,48.18,48.55,0.56,0.21,2.76,48.18,"ENTER - retest of 48.18 breakout level (3d ago), holding (tight prior base)",True,True,48.18,3.0,0.6,True,4.17,"Enact Holdings, Inc.",Financial Services,Insurance - Specialty,"Enact Holdings, Inc. operates as a private mortgage insurance company in the United States. The company engages in writing and assuming residential mortgage guaranty insurance. It also offers private mortgage insurance products insuring prime-based, individually underwritten residential mortgage loans; pool mortgage insurance; contract underwriting services; and mortgage-related reinsurance produc"
